lat,lon,gpi,"3-ERA5
(v20190613)
Variable: swvl1 [m³/m³]
Median: -0.071
IQR: 0.0792
N: 70
Mean CI range: 0.0112","1-SMOS Level 3
(version 339 Descending)
Variable: Soil_Moisture [m³/m³]
Median: 0.0474
IQR: 0.0836
N: 70
Mean CI range: 0.017","2-C3S SM combined
(v202012)
Variable: sm [m³/m³]
Median: -0.0782
IQR: 0.085
N: 70
Mean CI range: 0.011"
44.467,-0.7269,1404,-0.044721372,,
44.467,-0.7269,1407,-0.07959388,,
44.472,-0.7675,1410,-0.099575266,,
44.472,-0.7675,1411,-0.07694163,,
44.4914,-0.7568,1421,0.079101674,,
44.49126,-0.758,1438,-0.053111974,,
44.7899,-0.5765,1446,-0.13846695,,
44.7899,-0.5765,1450,-0.13276972,,
44.7899,-0.5765,1451,-0.15767169,,
44.666,4.15983,7839,-0.055048212,,
44.666,4.15983,7841,-0.13355699,,
44.666,4.15983,7846,-0.11614871,,
44.666,4.15983,7847,-0.056651473,,
44.62833,4.56667,7851,-0.06458359,,
44.62833,4.56667,7852,-0.18361922,,
44.62833,4.56667,7855,-0.14835756,,
44.62833,4.56667,7857,-0.09651011,,
43.88367,5.16483,7863,-0.05332904,,
43.88367,5.16483,7866,-0.10299589,,
43.9744,0.3361,7871,0.030582225,,
43.9744,0.3361,7872,0.021632845,,
43.9744,0.3361,7873,-0.06120174,,
43.9936,-0.0469,7885,-0.1720486,,
43.9936,-0.0469,7887,-0.11382599,,
43.9936,-0.0469,7889,-0.15203471,,
43.9936,-0.0469,7890,-0.09111343,,
44.243,4.01017,7892,-0.15793623,,
44.243,4.01017,7895,-0.19119115,,
43.5472,0.8878,7903,-0.011542182,,
43.5472,0.8878,7904,0.0056677167,,
43.5472,0.8878,7909,0.015964098,,
43.1733,2.7283,7913,-0.18291475,,
43.1733,2.7283,7917,-0.13016441,,
44.73383,4.08383,7921,-0.14326009,,
44.73383,4.08383,7926,-0.08693821,,
44.222,4.34483,7929,-0.091682546,,
