lat,lon,gpi,"3-ERA5
(v20190613)
Variable: swvl1 [m³/m³]
Median: 0.79
IQR: 0.131
N: 70
Mean CI range: 0.0945","2-C3S SM combined
(v202012)
Variable: sm [m³/m³]
Median: 0.653
IQR: 0.18
N: 70
Mean CI range: 0.136","1-SMOS Level 3
(version 339 Descending)
Variable: Soil_Moisture [m³/m³]
Median: 0.634
IQR: 0.124
N: 70
Mean CI range: 0.134"
44.467,-0.7269,1404,0.6310707,,
44.467,-0.7269,1407,0.4024838,,
44.472,-0.7675,1410,0.8236747,,
44.472,-0.7675,1411,0.8103844,,
44.4914,-0.7568,1421,0.94140166,,
44.49126,-0.758,1438,0.89189786,,
44.7899,-0.5765,1446,0.8124166,,
44.7899,-0.5765,1450,0.8604363,,
44.7899,-0.5765,1451,0.7945217,,
44.666,4.15983,7839,0.43164906,,
44.666,4.15983,7841,0.7295369,,
44.666,4.15983,7846,0.7449718,,
44.666,4.15983,7847,0.5852652,,
44.62833,4.56667,7851,0.80880666,,
44.62833,4.56667,7852,0.31388086,,
44.62833,4.56667,7855,0.66589123,,
44.62833,4.56667,7857,0.82849956,,
43.88367,5.16483,7863,0.6979633,,
43.88367,5.16483,7866,0.8369493,,
43.9744,0.3361,7871,0.795917,,
43.9744,0.3361,7872,0.7314726,,
43.9744,0.3361,7873,-0.33673173,,
43.9936,-0.0469,7885,0.8304242,,
43.9936,-0.0469,7887,0.7823974,,
43.9936,-0.0469,7889,0.7985819,,
43.9936,-0.0469,7890,0.82855636,,
44.243,4.01017,7892,0.8484995,,
44.243,4.01017,7895,0.83464235,,
43.5472,0.8878,7903,0.7373297,,
43.5472,0.8878,7904,0.845229,,
43.5472,0.8878,7909,0.84042335,,
43.1733,2.7283,7913,0.84479696,,
43.1733,2.7283,7917,0.81200045,,
44.73383,4.08383,7921,0.70917255,,
44.73383,4.08383,7926,0.7867252,,
44.222,4.34483,7929,0.62074953,,
44.222,4.34483,7932,0.78307503,,
44.222,4.34483,7935,0.814616,,
44.222,4.34483,7937,0.519191,,
43.1922,1.6436,7939,0.78800666,,
43.1922,1.6436,7940,0.70256495,,
43.1922,1.6436,7943,0.6926189,,
43.1922,1.6436,7947,0.6840349,,
42.96,2.53,7951,0.64272356,,
42.96,2.53,7954,0.94415826,,
42.96,2.53,7956,0.83080786,,
42.96,2.53,7958,0.64057916,,
43.15,2.9567,7962,0.42313036,,
43.15,2.9567,7964,0.81260943,,
43.15,2.9567,7970,0.7948735,,
43.6664,0.2217,7975,0.7776691,,
43.6664,0.2217,7976,0.83913326,,
43.43833,3.40333,7979,0.8250985,,
43.43833,3.40333,7986,0.83226156,,
43.43833,3.40333,7990,0.67508924,,
43.43833,3.40333,7994,0.6922411,,
43.43767,3.40033,7999,0.87493014,,
43.43767,3.40033,8000,0.66557825,,
43.43767,3.40033,8001,0.7432018,,
44.1475,-0.8456,8009,0.79298085,,
44.1475,-0.8456,8011,0.75037515,,
43.4417,1.88,8012,0.80621505,,
43.4417,1.88,8013,0.8620948,,
43.825,1.1767,8023,0.7423135,,
43.825,1.1767,8024,0.78145003,,
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,0.71422434,,
43.6397,-0.435,8038,0.7482028,,
43.79517,4.09083,8042,0.8370445,,
43.79517,4.09083,8044,0.8342521,,
43.79517,4.09083,8051,0.82313097,,
44.467,-0.7269,1404,,0.5913301,
44.467,-0.7269,1407,,0.40098378,
44.472,-0.7675,1410,,0.7522229,
44.472,-0.7675,1411,,0.7547062,
44.4914,-0.7568,1421,,0.8031022,
44.49126,-0.758,1438,,0.80225635,
44.7899,-0.5765,1446,,0.7262401,
44.7899,-0.5765,1450,,0.773213,
44.7899,-0.5765,1451,,0.70853615,
44.666,4.15983,7839,,0.35600874,
44.666,4.15983,7841,,0.52358127,
44.666,4.15983,7846,,0.59443814,
44.666,4.15983,7847,,0.48056015,
44.62833,4.56667,7851,,0.7498637,
44.62833,4.56667,7852,,0.32443652,
44.62833,4.56667,7855,,0.57818466,
44.62833,4.56667,7857,,0.7481312,
43.88367,5.16483,7863,,0.6118908,
43.88367,5.16483,7866,,0.7094084,
43.9744,0.3361,7871,,0.7105794,
43.9744,0.3361,7872,,0.6152127,
43.9744,0.3361,7873,,-0.17999743,
43.9936,-0.0469,7885,,0.80093783,
43.9936,-0.0469,7887,,0.6909013,
43.9936,-0.0469,7889,,0.6867816,
43.9936,-0.0469,7890,,0.77166736,
44.243,4.01017,7892,,0.73359746,
44.243,4.01017,7895,,0.73632544,
43.5472,0.8878,7903,,0.5851384,
43.5472,0.8878,7904,,0.6845088,
43.5472,0.8878,7909,,0.44320855,
43.1733,2.7283,7913,,0.75646216,
43.1733,2.7283,7917,,0.695148,
44.73383,4.08383,7921,,0.5014873,
44.73383,4.08383,7926,,0.5853279,
44.222,4.34483,7929,,0.5612371,
44.222,4.34483,7932,,0.68798435,
44.222,4.34483,7935,,0.75104743,
44.222,4.34483,7937,,0.48855785,
43.1922,1.6436,7939,,0.5472674,
43.1922,1.6436,7940,,0.51610905,
43.1922,1.6436,7943,,0.44743186,
43.1922,1.6436,7947,,0.43777186,
42.96,2.53,7951,,0.37471163,
42.96,2.53,7954,,0.54190296,
42.96,2.53,7956,,0.53879577,
42.96,2.53,7958,,0.35483992,
43.15,2.9567,7962,,0.35739645,
43.15,2.9567,7964,,0.64694804,
43.15,2.9567,7970,,0.63253206,
43.6664,0.2217,7975,,0.72778046,
43.6664,0.2217,7976,,0.80787367,
43.43833,3.40333,7979,,0.68197453,
43.43833,3.40333,7986,,0.68478405,
43.43833,3.40333,7990,,0.58267576,
43.43833,3.40333,7994,,0.59561515,
43.43767,3.40033,7999,,0.68104696,
43.43767,3.40033,8000,,0.45404634,
43.43767,3.40033,8001,,0.5711783,
44.1475,-0.8456,8009,,0.76267445,
44.1475,-0.8456,8011,,0.71407855,
43.4417,1.88,8012,,0.6680315,
43.4417,1.88,8013,,0.75817776,
43.825,1.1767,8023,,0.5819037,
43.825,1.1767,8024,,0.6192972,
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,,0.6706121,
43.6397,-0.435,8038,,0.70752084,
43.79517,4.09083,8042,,0.6744261,
43.79517,4.09083,8044,,0.65943235,
43.79517,4.09083,8051,,0.6237479,
44.467,-0.7269,1404,,,0.43777025
44.467,-0.7269,1407,,,0.28256938
44.472,-0.7675,1410,,,0.57340574
44.472,-0.7675,1411,,,0.56551045
44.4914,-0.7568,1421,,,0.5962392
44.49126,-0.758,1438,,,0.63374764
44.7899,-0.5765,1446,,,0.65863276
44.7899,-0.5765,1450,,,0.68801755
44.7899,-0.5765,1451,,,0.658768
44.666,4.15983,7839,,,0.32677728
44.666,4.15983,7841,,,0.5762627
44.666,4.15983,7846,,,0.6561561
44.666,4.15983,7847,,,0.46208125
44.62833,4.56667,7851,,,0.76993954
44.62833,4.56667,7852,,,0.24025318
44.62833,4.56667,7855,,,0.58565444
44.62833,4.56667,7857,,,0.7498843
43.88367,5.16483,7863,,,0.69367665
43.88367,5.16483,7866,,,0.7206381
43.9744,0.3361,7871,,,0.6469055
43.9744,0.3361,7872,,,0.51274383
43.9744,0.3361,7873,,,-0.5646098
43.9936,-0.0469,7885,,,0.5866309
43.9936,-0.0469,7887,,,0.6096704
43.9936,-0.0469,7889,,,0.60707575
43.9936,-0.0469,7890,,,0.55238223
44.243,4.01017,7892,,,0.68148065
44.243,4.01017,7895,,,0.6486851
43.5472,0.8878,7903,,,0.56782514
43.5472,0.8878,7904,,,0.66197747
43.5472,0.8878,7909,,,0.63325286
43.1733,2.7283,7913,,,0.8128573
43.1733,2.7283,7917,,,0.71098274
44.73383,4.08383,7921,,,0.64288145
44.73383,4.08383,7926,,,0.69667226
44.222,4.34483,7929,,,0.54111785
44.222,4.34483,7932,,,0.71397847
44.222,4.34483,7935,,,0.7487646
44.222,4.34483,7937,,,0.42112195
43.1922,1.6436,7939,,,0.6388036
43.1922,1.6436,7940,,,0.5635268
43.1922,1.6436,7943,,,0.52161324
43.1922,1.6436,7947,,,0.5265058
42.96,2.53,7951,,,0.5606778
42.96,2.53,7954,,,0.5309717
42.96,2.53,7956,,,0.6353026
42.96,2.53,7958,,,0.5635358
43.15,2.9567,7962,,,0.5311184
43.15,2.9567,7964,,,0.773259
43.15,2.9567,7970,,,0.711
43.6664,0.2217,7975,,,0.57936853
43.6664,0.2217,7976,,,0.68666583
43.43833,3.40333,7979,,,0.800634
43.43833,3.40333,7986,,,0.7886836
43.43833,3.40333,7990,,,0.65434295
43.43833,3.40333,7994,,,0.6280311
43.43767,3.40033,7999,,,0.7547149
43.43767,3.40033,8000,,,0.4964262
43.43767,3.40033,8001,,,0.61613387
44.1475,-0.8456,8009,,,0.6317349
44.1475,-0.8456,8011,,,0.570462
43.4417,1.88,8012,,,0.66219884
43.4417,1.88,8013,,,0.72030896
43.825,1.1767,8023,,,0.63010013
43.825,1.1767,8024,,,0.66037625
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,,,0.6289308
43.6397,-0.435,8038,,,0.6556377
43.79517,4.09083,8042,,,0.70660895
43.79517,4.09083,8044,,,0.69150716
43.79517,4.09083,8051,,,0.63745165
