lat,lon,gpi,"3-ERA5
(v20190613)
Variable: swvl1 [m³/m³]
Median: 0.0872
IQR: 0.0637
N: 70","1-SMOS Level 3
(version 339 Descending)
Variable: Soil_Moisture [m³/m³]
Median: 0.103
IQR: 0.0381
N: 70","2-C3S SM combined
(v202012)
Variable: sm [m³/m³]
Median: 0.095
IQR: 0.0625
N: 70"
44.467,-0.7269,1404,0.08264102,,
44.467,-0.7269,1407,0.11993171,,
44.472,-0.7675,1410,0.10662768,,
44.472,-0.7675,1411,0.08645416,,
44.4914,-0.7568,1421,0.081610374,,
44.49126,-0.758,1438,0.06152383,,
44.7899,-0.5765,1446,0.14503406,,
44.7899,-0.5765,1450,0.13804473,,
44.7899,-0.5765,1451,0.1649741,,
44.666,4.15983,7839,0.08630533,,
44.666,4.15983,7841,0.1418879,,
44.666,4.15983,7846,0.1251591,,
44.666,4.15983,7847,0.083613396,,
44.62833,4.56667,7851,0.082959905,,
44.62833,4.56667,7852,0.19568075,,
44.62833,4.56667,7855,0.159407,,
44.62833,4.56667,7857,0.10840987,,
43.88367,5.16483,7863,0.08264207,,
43.88367,5.16483,7866,0.113356985,,
43.9744,0.3361,7871,0.058536783,,
43.9744,0.3361,7872,0.06070999,,
43.9744,0.3361,7873,0.0878752,,
43.9936,-0.0469,7885,0.17799932,,
43.9936,-0.0469,7887,0.12351665,,
43.9936,-0.0469,7889,0.16020441,,
43.9936,-0.0469,7890,0.106448114,,
44.243,4.01017,7892,0.16718735,,
44.243,4.01017,7895,0.19883649,,
43.5472,0.8878,7903,0.05310763,,
43.5472,0.8878,7904,0.046521805,,
43.5472,0.8878,7909,0.028621085,,
43.1733,2.7283,7913,0.18926843,,
43.1733,2.7283,7917,0.13996634,,
44.73383,4.08383,7921,0.15936539,,
44.73383,4.08383,7926,0.11510462,,
44.222,4.34483,7929,0.1256294,,
44.222,4.34483,7932,0.13082124,,
44.222,4.34483,7935,0.20507112,,
44.222,4.34483,7937,0.16511296,,
43.1922,1.6436,7939,0.04937755,,
43.1922,1.6436,7940,0.09644631,,
43.1922,1.6436,7943,0.07962958,,
43.1922,1.6436,7947,0.11419538,,
42.96,2.53,7951,0.09206099,,
42.96,2.53,7954,0.054918896,,
42.96,2.53,7956,0.09845574,,
42.96,2.53,7958,0.07644995,,
43.15,2.9567,7962,0.13874885,,
43.15,2.9567,7964,0.07855484,,
43.15,2.9567,7970,0.056185067,,
43.6664,0.2217,7975,0.048392065,,
43.6664,0.2217,7976,0.054281507,,
