lat,lon,gpi,"1-SMOS Level 3
(version 339 Descending)
Variable: Soil_Moisture [m³/m³]
Median: 4.87
IQR: 5.48
N: 70","3-ERA5
(v20190613)
Variable: swvl1 [m³/m³]
Median: 4.1
IQR: 6.33
N: 70","2-C3S SM combined
(v202012)
Variable: sm [m³/m³]
Median: 4.67
IQR: 5.51
N: 70"
44.467,-0.7269,1404,7.148283,,
44.467,-0.7269,1407,10.456332,,
44.472,-0.7675,1410,8.754488,,
44.472,-0.7675,1411,6.964996,,
44.4914,-0.7568,1421,0.8406861,,
44.49126,-0.758,1438,5.2064486,,
44.7899,-0.5765,1446,4.115952,,
44.7899,-0.5765,1450,3.542581,,
44.7899,-0.5765,1451,5.0543504,,
44.666,4.15983,7839,4.196351,,
44.666,4.15983,7841,3.4373562,,
44.666,4.15983,7846,4.955132,,
44.666,4.15983,7847,4.071581,,
44.62833,4.56667,7851,2.9558876,,
44.62833,4.56667,7852,2.4184613,,
44.62833,4.56667,7855,2.4321363,,
44.62833,4.56667,7857,2.882954,,
43.88367,5.16483,7863,8.424401,,
43.88367,5.16483,7866,3.9207466,,
43.9744,0.3361,7871,30.196533,,
43.9744,0.3361,7872,28.885359,,
43.9744,0.3361,7873,0.1954361,,
43.9936,-0.0469,7885,3.5477338,,
43.9936,-0.0469,7887,5.414854,,
43.9936,-0.0469,7889,6.943909,,
43.9936,-0.0469,7890,3.5526807,,
44.243,4.01017,7892,2.9366624,,
44.243,4.01017,7895,2.7123003,,
43.5472,0.8878,7903,20.889063,,
43.5472,0.8878,7904,26.580511,,
43.5472,0.8878,7909,0.6953271,,
43.1733,2.7283,7913,7.029129,,
43.1733,2.7283,7917,5.8869514,,
44.73383,4.08383,7921,4.3205132,,
44.73383,4.08383,7926,9.41591,,
44.222,4.34483,7929,7.027877,,
44.222,4.34483,7932,0.42370063,,
44.222,4.34483,7935,0.6609025,,
44.222,4.34483,7937,2.8659918,,
43.1922,1.6436,7939,17.83849,,
43.1922,1.6436,7940,1.7441088,,
43.1922,1.6436,7943,8.2378,,
43.1922,1.6436,7947,0.89247686,,
42.96,2.53,7951,5.670533,,
42.96,2.53,7954,0.33391842,,
42.96,2.53,7956,1.7032923,,
42.96,2.53,7958,11.228559,,
43.15,2.9567,7962,1.1695807,,
43.15,2.9567,7964,4.644046,,
43.15,2.9567,7970,6.8894887,,
43.6664,0.2217,7975,25.63383,,
43.6664,0.2217,7976,15.753288,,
43.43833,3.40333,7979,1.9193269,,
43.43833,3.40333,7986,1.3013362,,
43.43833,3.40333,7990,3.7137842,,
43.43833,3.40333,7994,4.211145,,
43.43767,3.40033,7999,5.283162,,
43.43767,3.40033,8000,4.6528726,,
43.43767,3.40033,8001,7.9502244,,
44.1475,-0.8456,8009,16.996382,,
44.1475,-0.8456,8011,27.634594,,
43.4417,1.88,8012,13.0123005,,
43.4417,1.88,8013,5.8476553,,
43.825,1.1767,8023,14.762173,,
43.825,1.1767,8024,7.553202,,
43.825,1.1767,8029,,,
