lat,lon,gpi,"2-C3S SM combined
(v202012)
Variable: sm [m³/m³]
Median: 0.00903
IQR: 0.0127
N: 70","3-ERA5
(v20190613)
Variable: swvl1 [m³/m³]
Median: 0.0076
IQR: 0.0119
N: 70","1-SMOS Level 3
(version 339 Descending)
Variable: Soil_Moisture [m³/m³]
Median: 0.0107
IQR: 0.00796
N: 70"
44.467,-0.7269,1404,0.008084252,,
44.467,-0.7269,1407,0.015107058,,
44.472,-0.7675,1410,0.013407468,,
44.472,-0.7675,1411,0.009139553,,
44.4914,-0.7568,1421,0.008917191,,
44.49126,-0.758,1438,0.005765738,,
44.7899,-0.5765,1446,0.03046233,,
44.7899,-0.5765,1450,0.02844867,,
44.7899,-0.5765,1451,0.03623672,,
44.666,4.15983,7839,0.0022944082,,
44.666,4.15983,7841,0.00627667,,
44.666,4.15983,7846,0.003792002,,
44.666,4.15983,7847,0.0031023829,,
44.62833,4.56667,7851,0.0057709035,,
44.62833,4.56667,7852,0.021921491,,
44.62833,4.56667,7855,0.014373841,,
44.62833,4.56667,7857,0.009683275,,
43.88367,5.16483,7863,0.0050380086,,
43.88367,5.16483,7866,0.010951455,,
43.9744,0.3361,7871,0.0021492525,,
43.9744,0.3361,7872,0.0027710414,,
43.9744,0.3361,7873,0.010330665,,
43.9936,-0.0469,7885,0.018642498,,
43.9936,-0.0469,7887,0.008547596,,
43.9936,-0.0469,7889,0.01563007,,
43.9936,-0.0469,7890,0.0075222757,,
44.243,4.01017,7892,0.02417539,,
44.243,4.01017,7895,0.03534624,,
43.5472,0.8878,7903,0.0034593197,,
43.5472,0.8878,7904,0.0040147407,,
43.5472,0.8878,7909,0.001068089,,
43.1733,2.7283,7913,0.03354713,,
43.1733,2.7283,7917,0.01764593,,
44.73383,4.08383,7921,0.012062531,,
44.73383,4.08383,7926,0.010028112,,
44.222,4.34483,7929,0.020022226,,
44.222,4.34483,7932,0.01909503,,
44.222,4.34483,7935,0.045882866,,
44.222,4.34483,7937,0.03020306,,
43.1922,1.6436,7939,0.0078019607,,
43.1922,1.6436,7940,0.007917308,,
43.1922,1.6436,7943,0.0037805892,,
43.1922,1.6436,7947,0.0071815234,,
42.96,2.53,7951,0.005803746,,
42.96,2.53,7954,0.0021438622,,
42.96,2.53,7956,0.007979332,,
42.96,2.53,7958,0.0048756604,,
43.15,2.9567,7962,0.015753455,,
43.15,2.9567,7964,0.010409519,,
43.15,2.9567,7970,0.005327318,,
43.6664,0.2217,7975,0.0017999047,,
43.6664,0.2217,7976,0.0036528155,,
43.43833,3.40333,7979,0.049283735,,
43.43833,3.40333,7986,0.029368874,,
43.43833,3.40333,7990,0.024237193,,
43.43833,3.40333,7994,0.021215715,,
43.43767,3.40033,7999,0.012239169,,
43.43767,3.40033,8000,0.020897439,,
43.43767,3.40033,8001,0.017412927,,
44.1475,-0.8456,8009,0.008625394,,
44.1475,-0.8456,8011,0.0127841635,,
43.4417,1.88,8012,0.0018759894,,
43.4417,1.88,8013,0.0036966905,,
43.825,1.1767,8023,0.0051471307,,
43.825,1.1767,8024,0.0032385506,,
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,0.0041776043,,
43.6397,-0.435,8038,0.004408719,,
43.79517,4.09083,8042,0.010836797,,
43.79517,4.09083,8044,0.012170392,,
43.79517,4.09083,8051,0.006478735,,
44.467,-0.7269,1404,,0.0068295384,
44.467,-0.7269,1407,,0.014383615,
44.472,-0.7675,1410,,0.011369462,
44.472,-0.7675,1411,,0.0074743214,
44.4914,-0.7568,1421,,0.0066602533,
44.49126,-0.758,1438,,0.0037851816,
44.7899,-0.5765,1446,,0.021034878,
44.7899,-0.5765,1450,,0.019056348,
44.7899,-0.5765,1451,,0.027216453,
44.666,4.15983,7839,,0.007448609,
44.666,4.15983,7841,,0.020132177,
44.666,4.15983,7846,,0.0156648,
44.666,4.15983,7847,,0.0069911997,
44.62833,4.56667,7851,,0.0068823453,
44.62833,4.56667,7852,,0.03829096,
44.62833,4.56667,7855,,0.025410593,
44.62833,4.56667,7857,,0.011752699,
43.88367,5.16483,7863,,0.0068297116,
43.88367,5.16483,7866,,0.012849807,
43.9744,0.3361,7871,,0.003426555,
43.9744,0.3361,7872,,0.0036857028,
43.9744,0.3361,7873,,0.007722052,
43.9936,-0.0469,7885,,0.031683758,
43.9936,-0.0469,7887,,0.015256363,
43.9936,-0.0469,7889,,0.025665455,
43.9936,-0.0469,7890,,0.011331201,
44.243,4.01017,7892,,0.027951611,
44.243,4.01017,7895,,0.039535947,
43.5472,0.8878,7903,,0.0028204205,
43.5472,0.8878,7904,,0.0021642782,
43.5472,0.8878,7909,,0.0008191665,
43.1733,2.7283,7913,,0.035822533,
43.1733,2.7283,7917,,0.019590575,
44.73383,4.08383,7921,,0.025397325,
44.73383,4.08383,7926,,0.013249075,
44.222,4.34483,7929,,0.015782746,
44.222,4.34483,7932,,0.0171142,
44.222,4.34483,7935,,0.042054165,
44.222,4.34483,7937,,0.027262287,
43.1922,1.6436,7939,,0.0024381424,
43.1922,1.6436,7940,,0.009301891,
43.1922,1.6436,7943,,0.0063408692,
43.1922,1.6436,7947,,0.013040584,
42.96,2.53,7951,,0.008475225,
42.96,2.53,7954,,0.0030160854,
42.96,2.53,7956,,0.009693533,
42.96,2.53,7958,,0.0058445954,
43.15,2.9567,7962,,0.019251246,
