lat,lon,gpi,"3-ERA5
(v20190613)
Variable: swvl1 [m³/m³]
Median: 0.000353
IQR: 0.000662
N: 70","1-SMOS Level 3
(version 339 Descending)
Variable: Soil_Moisture [m³/m³]
Median: 0.00109
IQR: 0.00175
N: 70","2-C3S SM combined
(v202012)
Variable: sm [m³/m³]
Median: 0.000417
IQR: 0.00106
N: 70"
44.467,-0.7269,1404,0.00043655353,,
44.467,-0.7269,1407,0.00066852773,,
44.472,-0.7675,1410,0.00019029278,,
44.472,-0.7675,1411,0.00010606249,,
44.4914,-0.7568,1421,0.00011148039,,
44.49126,-0.758,1438,1.343565e-05,,
44.7899,-0.5765,1446,0.0005030316,,
44.7899,-0.5765,1450,0.00036696438,,
44.7899,-0.5765,1451,0.0012793659,,
44.666,4.15983,7839,0.0004880557,,
44.666,4.15983,7841,0.00035494694,,
44.666,4.15983,7846,0.00048097968,,
44.666,4.15983,7847,5.6338133e-05,,
44.62833,4.56667,7851,8.0179154e-05,,
44.62833,4.56667,7852,0.0031441948,,
44.62833,4.56667,7855,4.0154864e-06,,
44.62833,4.56667,7857,0.00014625052,,
43.88367,5.16483,7863,7.378491e-05,,
43.88367,5.16483,7866,2.2048715e-05,,
43.9744,0.3361,7871,0.00035820584,,
43.9744,0.3361,7872,0.00040219587,,
43.9744,0.3361,7873,0.0003509948,,
43.9936,-0.0469,7885,0.0005351803,,
43.9936,-0.0469,7887,0.00013839456,,
43.9936,-0.0469,7889,0.0012070696,,
43.9936,-0.0469,7890,0.00029517463,,
44.243,4.01017,7892,0.001941181,,
44.243,4.01017,7895,0.0017574751,,
43.5472,0.8878,7903,3.394126e-05,,
43.5472,0.8878,7904,0.00015420304,,
43.5472,0.8878,7909,0.00035407796,,
43.1733,2.7283,7913,0.0011066048,,
43.1733,2.7283,7917,0.0011386335,,
44.73383,4.08383,7921,0.0010920399,,
44.73383,4.08383,7926,0.0024294592,,
44.222,4.34483,7929,0.00025793983,,
44.222,4.34483,7932,0.0018051643,,
44.222,4.34483,7935,0.0027852894,,
44.222,4.34483,7937,0.0018198792,,
43.1922,1.6436,7939,1.177553e-05,,
43.1922,1.6436,7940,0.00077016343,,
43.1922,1.6436,7943,0.00015875162,,
43.1922,1.6436,7947,2.8098415e-05,,
42.96,2.53,7951,0.00033136245,,
42.96,2.53,7954,0.00052583,,
42.96,2.53,7956,0.00055950676,,
42.96,2.53,7958,4.9383376e-05,,
43.15,2.9567,7962,0.006850037,,
43.15,2.9567,7964,0.00081513845,,
43.15,2.9567,7970,0.00059813954,,
43.6664,0.2217,7975,0.0003783505,,
43.6664,0.2217,7976,0.00019069444,,
43.43833,3.40333,7979,0.00013881754,,
43.43833,3.40333,7986,0.00027770156,,
43.43833,3.40333,7990,0.00016990326,,
43.43833,3.40333,7994,2.1853884e-06,,
43.43767,3.40033,7999,0.00021302709,,
43.43767,3.40033,8000,0.0018276122,,
43.43767,3.40033,8001,4.2542638e-07,,
44.1475,-0.8456,8009,2.8499406e-05,,
44.1475,-0.8456,8011,0.0010641816,,
43.4417,1.88,8012,0.0005004085,,
43.4417,1.88,8013,0.00011579388,,
43.825,1.1767,8023,0.000100096906,,
43.825,1.1767,8024,0.00076745293,,
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,9.317926e-05,,
43.6397,-0.435,8038,0.0008714041,,
43.79517,4.09083,8042,2.022089e-05,,
43.79517,4.09083,8044,5.1570467e-05,,
43.79517,4.09083,8051,0.00013812547,,
44.467,-0.7269,1404,,0.0006797974,
44.467,-0.7269,1407,,0.00041482117,
44.472,-0.7675,1410,,0.0037054361,
44.472,-0.7675,1411,,0.003292039,
44.4914,-0.7568,1421,,0.0046045408,
44.49126,-0.758,1438,,0.0025892504,
44.7899,-0.5765,1446,,0.0031665291,
44.7899,-0.5765,1450,,0.002821792,
44.7899,-0.5765,1451,,0.0051268106,
44.666,4.15983,7839,,0.00048693,
44.666,4.15983,7841,,0.00062396517,
44.666,4.15983,7846,,0.00083884626,
44.666,4.15983,7847,,5.5956098e-05,
44.62833,4.56667,7851,,7.5365815e-06,
44.62833,4.56667,7852,,0.0074707395,
44.62833,4.56667,7855,,0.0008424536,
44.62833,4.56667,7857,,6.088364e-06,
43.88367,5.16483,7863,,0.00016049152,
43.88367,5.16483,7866,,7.6988625e-05,
43.9744,0.3361,7871,,0.0011308086,
43.9744,0.3361,7872,,0.0011901807,
43.9744,0.3361,7873,,1.1368618e-05,
43.9936,-0.0469,7885,,0.0017346081,
43.9936,-0.0469,7887,,0.0008857762,
43.9936,-0.0469,7889,,0.0026586563,
43.9936,-0.0469,7890,,8.556427e-06,
44.243,4.01017,7892,,0.0012364688,
44.243,4.01017,7895,,0.0010907743,
43.5472,0.8878,7903,,0.0002931212,
43.5472,0.8878,7904,,5.6333045e-07,
43.5472,0.8878,7909,,0.0020967752,
43.1733,2.7283,7913,,0.0034841702,
43.1733,2.7283,7917,,0.0035408249,
44.73383,4.08383,7921,,0.0005744637,
44.73383,4.08383,7926,,0.0016425002,
44.222,4.34483,7929,,0.0008482309,
44.222,4.34483,7932,,0.0012026702,
44.222,4.34483,7935,,0.0020221346,
44.222,4.34483,7937,,0.0008805125,
43.1922,1.6436,7939,,3.1827727e-05,
43.1922,1.6436,7940,,0.0006209608,
43.1922,1.6436,7943,,0.0004717312,
43.1922,1.6436,7947,,6.523759e-05,
42.96,2.53,7951,,0.0015784963,
42.96,2.53,7954,,0.0017403023,
42.96,2.53,7956,,0.0009616979,
42.96,2.53,7958,,0.0005115466,
43.15,2.9567,7962,,0.01117562,
43.15,2.9567,7964,,0.0022697034,
43.15,2.9567,7970,,0.0018364893,
43.6664,0.2217,7975,,0.0010861926,
43.6664,0.2217,7976,,0.0008844997,
43.43833,3.40333,7979,,0.004321583,
43.43833,3.40333,7986,,0.001379825,
43.43833,3.40333,7990,,0.0012811659,
43.43833,3.40333,7994,,0.0025307317,
43.43767,3.40033,7999,,0.0013299112,
43.43767,3.40033,8000,,4.1539344e-05,
43.43767,3.40033,8001,,0.002584617,
44.1475,-0.8456,8009,,0.0036996503,
