lat,lon,gpi,"All datasets
Median: 547
IQR: 617
N: 72"
44.467,-0.7269,1404,553
44.467,-0.7269,1407,540
44.472,-0.7675,1410,547
44.472,-0.7675,1411,547
44.4914,-0.7568,1421,29
44.49126,-0.758,1438,536
44.7899,-0.5765,1446,580
44.7899,-0.5765,1450,551
44.7899,-0.5765,1451,552
44.666,4.15983,7839,184
44.666,4.15983,7841,365
44.666,4.15983,7846,433
44.666,4.15983,7847,184
44.62833,4.56667,7851,220
44.62833,4.56667,7852,246
44.62833,4.56667,7855,323
44.62833,4.56667,7857,349
43.88367,5.16483,7863,540
43.88367,5.16483,7866,540
43.9744,0.3361,7871,1174
43.9744,0.3361,7872,1156
43.9744,0.3361,7873,20
43.9936,-0.0469,7885,270
43.9936,-0.0469,7887,951
43.9936,-0.0469,7889,995
43.9936,-0.0469,7890,394
44.243,4.01017,7892,772
44.243,4.01017,7895,772
43.5472,0.8878,7903,1113
43.5472,0.8878,7904,1172
43.5472,0.8878,7909,28
43.1733,2.7283,7913,892
43.1733,2.7283,7917,892
44.73383,4.08383,7921,592
44.73383,4.08383,7926,599
44.222,4.34483,7929,566
44.222,4.34483,7932,108
44.222,4.34483,7935,108
44.222,4.34483,7937,565
43.1922,1.6436,7939,742
43.1922,1.6436,7940,162
43.1922,1.6436,7943,724
43.1922,1.6436,7947,161
42.96,2.53,7951,640
42.96,2.53,7954,47
42.96,2.53,7956,321
42.96,2.53,7958,939
43.15,2.9567,7962,86
43.15,2.9567,7964,615
43.15,2.9567,7970,529
43.6664,0.2217,7975,1221
43.6664,0.2217,7976,1294
43.43833,3.40333,7979,239
43.43833,3.40333,7986,240
43.43833,3.40333,7990,500
43.43833,3.40333,7994,500
43.43767,3.40033,7999,441
43.43767,3.40033,8000,308
43.43767,3.40033,8001,749
44.1475,-0.8456,8009,1113
44.1475,-0.8456,8011,1245
43.4417,1.88,8012,948
43.4417,1.88,8013,949
43.825,1.1767,8023,1099
43.825,1.1767,8024,1084
43.825,1.1767,8029,1
43.825,1.1767,8032,2
43.6397,-0.435,8035,1107
43.6397,-0.435,8038,1007
43.79517,4.09083,8042,368
43.79517,4.09083,8044,661
43.79517,4.09083,8051,277
