lat,lon,gpi,"1-SMOS Level 3
(version 339 Descending)
Variable: Soil_Moisture [m³/m³]
Median: 0
IQR: 2.99e-31
N: 70","3-ERA5
(v20190613)
Variable: swvl1 [m³/m³]
Median: 0
IQR: 0
N: 70","2-C3S SM combined
(v202012)
Variable: sm [m³/m³]
Median: 0
IQR: 2.36e-29
N: 70"
44.467,-0.7269,1404,2.7001155e-27,,
44.467,-0.7269,1407,2.2643833e-11,,
44.472,-0.7675,1410,0.0,,
44.472,-0.7675,1411,0.0,,
44.4914,-0.7568,1421,0.0006416576,,
44.49126,-0.758,1438,0.0,,
44.7899,-0.5765,1446,0.0,,
44.7899,-0.5765,1450,0.0,,
44.7899,-0.5765,1451,0.0,,
44.666,4.15983,7839,5.973393e-06,,
44.666,4.15983,7841,1.1126156e-33,,
44.666,4.15983,7846,0.0,,
44.666,4.15983,7847,4.0356503e-11,,
44.62833,4.56667,7851,2.1e-44,,
44.62833,4.56667,7852,0.00014185517,,
44.62833,4.56667,7855,3.966026e-31,,
44.62833,4.56667,7857,0.0,,
43.88367,5.16483,7863,0.0,,
43.88367,5.16483,7866,0.0,,
43.9744,0.3361,7871,0.0,,
43.9744,0.3361,7872,0.0,,
43.9744,0.3361,7873,0.009498083,,
43.9936,-0.0469,7885,2.3396836e-26,,
43.9936,-0.0469,7887,0.0,,
43.9936,-0.0469,7889,0.0,,
43.9936,-0.0469,7890,7.479641e-33,,
44.243,4.01017,7892,0.0,,
44.243,4.01017,7895,0.0,,
43.5472,0.8878,7903,0.0,,
43.5472,0.8878,7904,0.0,,
43.5472,0.8878,7909,0.0002980846,,
43.1733,2.7283,7913,0.0,,
43.1733,2.7283,7917,0.0,,
44.73383,4.08383,7921,0.0,,
44.73383,4.08383,7926,0.0,,
44.222,4.34483,7929,2.2e-44,,
44.222,4.34483,7932,4.189956e-18,,
44.222,4.34483,7935,1.2018993e-20,,
44.222,4.34483,7937,1.0778946e-25,,
43.1922,1.6436,7939,0.0,,
43.1922,1.6436,7940,5.857829e-15,,
43.1922,1.6436,7943,0.0,,
43.1922,1.6436,7947,7.310121e-13,,
42.96,2.53,7951,0.0,,
42.96,2.53,7954,0.00012317613,,
42.96,2.53,7956,1.101317e-37,,
42.96,2.53,7958,0.0,,
43.15,2.9567,7962,1.433191e-07,,
43.15,2.9567,7964,0.0,,
43.15,2.9567,7970,0.0,,
43.6664,0.2217,7975,0.0,,
43.6664,0.2217,7976,0.0,,
43.43833,3.40333,7979,0.0,,
43.43833,3.40333,7986,0.0,,
43.43833,3.40333,7990,0.0,,
43.43833,3.40333,7994,0.0,,
43.43767,3.40033,7999,0.0,,
43.43767,3.40033,8000,1.4380734e-20,,
43.43767,3.40033,8001,0.0,,
44.1475,-0.8456,8009,0.0,,
44.1475,-0.8456,8011,0.0,,
43.4417,1.88,8012,0.0,,
43.4417,1.88,8013,0.0,,
43.825,1.1767,8023,0.0,,
43.825,1.1767,8024,0.0,,
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,0.0,,
43.6397,-0.435,8038,0.0,,
43.79517,4.09083,8042,0.0,,
43.79517,4.09083,8044,0.0,,
43.79517,4.09083,8051,5.4469234e-33,,
44.467,-0.7269,1404,,0.0,
44.467,-0.7269,1407,,1.9103962e-22,
44.472,-0.7675,1410,,0.0,
44.472,-0.7675,1411,,0.0,
44.4914,-0.7568,1421,,2.901157e-14,
44.49126,-0.758,1438,,0.0,
44.7899,-0.5765,1446,,0.0,
44.7899,-0.5765,1450,,0.0,
44.7899,-0.5765,1451,,0.0,
44.666,4.15983,7839,,9.498416e-10,
44.666,4.15983,7841,,0.0,
44.666,4.15983,7846,,0.0,
44.666,4.15983,7847,,2.6664006e-18,
44.62833,4.56667,7851,,0.0,
44.62833,4.56667,7852,,5.020273e-07,
44.62833,4.56667,7855,,9.58e-43,
44.62833,4.56667,7857,,0.0,
43.88367,5.16483,7863,,0.0,
43.88367,5.16483,7866,,0.0,
43.9744,0.3361,7871,,0.0,
43.9744,0.3361,7872,,0.0,
43.9744,0.3361,7873,,0.1465736,
43.9936,-0.0469,7885,,0.0,
43.9936,-0.0469,7887,,0.0,
43.9936,-0.0469,7889,,0.0,
43.9936,-0.0469,7890,,0.0,
44.243,4.01017,7892,,0.0,
44.243,4.01017,7895,,0.0,
43.5472,0.8878,7903,,0.0,
43.5472,0.8878,7904,,0.0,
43.5472,0.8878,7909,,2.1982173e-08,
43.1733,2.7283,7913,,0.0,
43.1733,2.7283,7917,,0.0,
44.73383,4.08383,7921,,0.0,
44.73383,4.08383,7926,,0.0,
44.222,4.34483,7929,,0.0,
44.222,4.34483,7932,,1.3438569e-23,
44.222,4.34483,7935,,7.91974e-27,
44.222,4.34483,7937,,2.5602e-40,
43.1922,1.6436,7939,,0.0,
43.1922,1.6436,7940,,2.0392612e-25,
43.1922,1.6436,7943,,0.0,
43.1922,1.6436,7947,,1.5089966e-23,
42.96,2.53,7951,,0.0,
42.96,2.53,7954,,2.5107264e-23,
42.96,2.53,7956,,0.0,
42.96,2.53,7958,,0.0,
43.15,2.9567,7962,,4.930101e-05,
43.15,2.9567,7964,,0.0,
43.15,2.9567,7970,,0.0,
43.6664,0.2217,7975,,0.0,
43.6664,0.2217,7976,,0.0,
43.43833,3.40333,7979,,0.0,
43.43833,3.40333,7986,,0.0,
43.43833,3.40333,7990,,0.0,
43.43833,3.40333,7994,,0.0,
43.43767,3.40033,7999,,0.0,
43.43767,3.40033,8000,,8.9183e-41,
43.43767,3.40033,8001,,0.0,
44.1475,-0.8456,8009,,0.0,
44.1475,-0.8456,8011,,0.0,
43.4417,1.88,8012,,0.0,
43.4417,1.88,8013,,0.0,
43.825,1.1767,8023,,0.0,
43.825,1.1767,8024,,0.0,
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,,0.0,
43.6397,-0.435,8038,,0.0,
43.79517,4.09083,8042,,0.0,
43.79517,4.09083,8044,,0.0,
43.79517,4.09083,8051,,0.0,
44.467,-0.7269,1404,,,0.0
44.467,-0.7269,1407,,,2.8223053e-22
44.472,-0.7675,1410,,,0.0
44.472,-0.7675,1411,,,0.0
44.4914,-0.7568,1421,,,1.5779189e-07
44.49126,-0.758,1438,,,0.0
44.7899,-0.5765,1446,,,0.0
44.7899,-0.5765,1450,,,0.0
44.7899,-0.5765,1451,,,0.0
44.666,4.15983,7839,,,7.0604654e-07
44.666,4.15983,7841,,,4.4125925e-27
44.666,4.15983,7846,,,1.016e-42
44.666,4.15983,7847,,,5.064107e-12
44.62833,4.56667,7851,,,5.5518e-41
44.62833,4.56667,7852,,,1.9491486e-07
44.62833,4.56667,7855,,,3.312178e-30
44.62833,4.56667,7857,,,0.0
43.88367,5.16483,7863,,,0.0
43.88367,5.16483,7866,,,0.0
43.9744,0.3361,7871,,,0.0
43.9744,0.3361,7872,,,0.0
43.9744,0.3361,7873,,,0.44762763
43.9936,-0.0469,7885,,,0.0
43.9936,-0.0469,7887,,,0.0
43.9936,-0.0469,7889,,,0.0
43.9936,-0.0469,7890,,,0.0
44.243,4.01017,7892,,,0.0
44.243,4.01017,7895,,,0.0
43.5472,0.8878,7903,,,0.0
43.5472,0.8878,7904,,,0.0
43.5472,0.8878,7909,,,0.01816878
43.1733,2.7283,7913,,,0.0
43.1733,2.7283,7917,,,0.0
44.73383,4.08383,7921,,,5.038356e-39
44.73383,4.08383,7926,,,0.0
44.222,4.34483,7929,,,0.0
44.222,4.34483,7932,,,1.9417496e-16
44.222,4.34483,7935,,,7.916118e-21
44.222,4.34483,7937,,,3.1255703e-35
43.1922,1.6436,7939,,,0.0
43.1922,1.6436,7940,,,2.0777746e-12
43.1922,1.6436,7943,,,6.2609603e-37
43.1922,1.6436,7947,,,6.3531975e-09
42.96,2.53,7951,,,9.135588e-23
42.96,2.53,7954,,,8.352707e-05
42.96,2.53,7956,,,1.4500374e-25
42.96,2.53,7958,,,3.0304327e-29
43.15,2.9567,7962,,,0.00072971446
43.15,2.9567,7964,,,0.0
43.15,2.9567,7970,,,0.0
43.6664,0.2217,7975,,,0.0
43.6664,0.2217,7976,,,0.0
43.43833,3.40333,7979,,,4.7820446e-34
43.43833,3.40333,7986,,,1.4748645e-34
43.43833,3.40333,7990,,,0.0
43.43833,3.40333,7994,,,0.0
43.43767,3.40033,7999,,,0.0
43.43767,3.40033,8000,,,4.5254304e-17
43.43767,3.40033,8001,,,0.0
44.1475,-0.8456,8009,,,0.0
44.1475,-0.8456,8011,,,0.0
43.4417,1.88,8012,,,0.0
43.4417,1.88,8013,,,0.0
43.825,1.1767,8023,,,0.0
43.825,1.1767,8024,,,0.0
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,,,0.0
43.6397,-0.435,8038,,,0.0
43.79517,4.09083,8042,,,0.0
43.79517,4.09083,8044,,,0.0
43.79517,4.09083,8051,,,2.878079e-31
