lat,lon,gpi,"3-ERA5
(v20190613)
Variable: swvl1 [m³/m³]
Median: 0.79
IQR: 0.141
N: 70
Mean CI range: 0.108","1-SMOS Level 3
(version 339 Descending)
Variable: Soil_Moisture [m³/m³]
Median: 0.66
IQR: 0.127
N: 70
Mean CI range: 0.142","2-C3S SM combined
(v202012)
Variable: sm [m³/m³]
Median: 0.659
IQR: 0.202
N: 70
Mean CI range: 0.146"
44.467,-0.7269,1404,0.67673385,,
44.467,-0.7269,1407,0.40472123,,
44.472,-0.7675,1410,0.848113,,
44.472,-0.7675,1411,0.8516505,,
44.4914,-0.7568,1421,0.75501907,,
44.49126,-0.758,1438,0.90368134,,
44.7899,-0.5765,1446,0.8525085,,
44.7899,-0.5765,1450,0.8945177,,
44.7899,-0.5765,1451,0.8409661,,
44.666,4.15983,7839,0.34564078,,
44.666,4.15983,7841,0.73815525,,
44.666,4.15983,7846,0.7600977,,
44.666,4.15983,7847,0.4847035,,
44.62833,4.56667,7851,0.812022,,
44.62833,4.56667,7852,0.3492959,,
44.62833,4.56667,7855,0.69545835,,
44.62833,4.56667,7857,0.8570311,,
43.88367,5.16483,7863,0.700862,,
43.88367,5.16483,7866,0.8399524,,
43.9744,0.3361,7871,0.8316822,,
43.9744,0.3361,7872,0.79004157,,
43.9744,0.3361,7873,0.34749907,,
43.9936,-0.0469,7885,0.88963324,,
43.9936,-0.0469,7887,0.7952871,,
43.9936,-0.0469,7889,0.8033743,,
43.9936,-0.0469,7890,0.84113574,,
44.243,4.01017,7892,0.8700419,,
44.243,4.01017,7895,0.87616116,,
43.5472,0.8878,7903,0.7714385,,
43.5472,0.8878,7904,0.86275476,,
43.5472,0.8878,7909,0.78789556,,
43.1733,2.7283,7913,0.9005863,,
43.1733,2.7283,7917,0.8215434,,
44.73383,4.08383,7921,0.6968053,,
44.73383,4.08383,7926,0.78453434,,
44.222,4.34483,7929,0.5574704,,
44.222,4.34483,7932,0.8156554,,
44.222,4.34483,7935,0.8330781,,
44.222,4.34483,7937,0.520262,,
43.1922,1.6436,7939,0.79017496,,
43.1922,1.6436,7940,0.7048348,,
43.1922,1.6436,7943,0.69911355,,
43.1922,1.6436,7947,0.69060045,,
42.96,2.53,7951,0.653053,,
42.96,2.53,7954,0.8954689,,
42.96,2.53,7956,0.8027686,,
42.96,2.53,7958,0.63191044,,
43.15,2.9567,7962,0.42031306,,
43.15,2.9567,7964,0.81692225,,
43.15,2.9567,7970,0.7823689,,
43.6664,0.2217,7975,0.7889609,,
43.6664,0.2217,7976,0.8417754,,
43.43833,3.40333,7979,0.8836376,,
43.43833,3.40333,7986,0.869553,,
43.43833,3.40333,7990,0.6992134,,
43.43833,3.40333,7994,0.73756856,,
43.43767,3.40033,7999,0.88261634,,
43.43767,3.40033,8000,0.65779555,,
43.43767,3.40033,8001,0.7385962,,
44.1475,-0.8456,8009,0.81880933,,
44.1475,-0.8456,8011,0.8059168,,
43.4417,1.88,8012,0.8218885,,
43.4417,1.88,8013,0.86762804,,
43.825,1.1767,8023,0.74803466,,
43.825,1.1767,8024,0.7853189,,
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,0.67843115,,
43.6397,-0.435,8038,0.71614134,,
43.79517,4.09083,8042,0.8104519,,
43.79517,4.09083,8044,0.8250041,,
43.79517,4.09083,8051,0.7470069,,
44.467,-0.7269,1404,,0.46109912,
44.467,-0.7269,1407,,0.27294013,
44.472,-0.7675,1410,,0.5936944,
44.472,-0.7675,1411,,0.588305,
44.4914,-0.7568,1421,,0.5929302,
44.49126,-0.758,1438,,0.6571034,
44.7899,-0.5765,1446,,0.68995553,
44.7899,-0.5765,1450,,0.7253715,
44.7899,-0.5765,1451,,0.69342303,
44.666,4.15983,7839,,0.26150286,
