lat,lon,gpi,"2-C3S SM combined
(v202012)
Variable: sm [m³/m³]
Median: 0.0476
IQR: 0.0213
N: 70
Mean CI range: 0.00785","3-ERA5
(v20190613)
Variable: swvl1 [m³/m³]
Median: 0.051
IQR: 0.0141
N: 70
Mean CI range: 0.00797","1-SMOS Level 3
(version 339 Descending)
Variable: Soil_Moisture [m³/m³]
Median: 0.0755
IQR: 0.0146
N: 70
Mean CI range: 0.0122"
44.467,-0.7269,1404,0.07273988,,
44.467,-0.7269,1407,0.084800616,,
44.472,-0.7675,1410,0.03590137,,
44.472,-0.7675,1411,0.0386255,,
44.4914,-0.7568,1421,0.035767928,,
44.49126,-0.758,1438,0.04296726,,
44.7899,-0.5765,1446,0.040240277,,
44.7899,-0.5765,1450,0.042008847,,
44.7899,-0.5765,1451,0.027591206,,
44.666,4.15983,7839,0.047606416,,
44.666,4.15983,7841,0.044200417,,
44.666,4.15983,7846,0.03875429,,
44.666,4.15983,7847,0.055576555,,
44.62833,4.56667,7851,0.05940684,,
44.62833,4.56667,7852,0.052525908,,
44.62833,4.56667,7855,0.060358692,,
44.62833,4.56667,7857,0.05998914,,
43.88367,5.16483,7863,0.06082431,,
43.88367,5.16483,7866,0.059263747,,
43.9744,0.3361,7871,0.045860853,,
43.9744,0.3361,7872,0.052599527,,
43.9744,0.3361,7873,0.06020794,,
43.9936,-0.0469,7885,0.03423839,,
43.9936,-0.0469,7887,0.047604203,,
43.9936,-0.0469,7889,0.03963937,,
43.9936,-0.0469,7890,0.06653652,,
44.243,4.01017,7892,0.035904188,,
44.243,4.01017,7895,0.035948858,,
43.5472,0.8878,7903,0.05743146,,
43.5472,0.8878,7904,0.063112676,,
43.5472,0.8878,7909,0.03093623,,
43.1733,2.7283,7913,0.034704037,,
43.1733,2.7283,7917,0.03865114,,
44.73383,4.08383,7921,0.08696079,,
44.73383,4.08383,7926,0.09949917,,
44.222,4.34483,7929,0.08726033,,
44.222,4.34483,7932,0.036885772,,
44.222,4.34483,7935,0.03199112,,
44.222,4.34483,7937,0.0510819,,
43.1922,1.6436,7939,0.065945424,,
43.1922,1.6436,7940,0.08652334,,
43.1922,1.6436,7943,0.0614415,,
43.1922,1.6436,7947,0.063715935,,
42.96,2.53,7951,0.04858324,,
42.96,2.53,7954,0.034378733,,
42.96,2.53,7956,0.042759877,,
42.96,2.53,7958,0.059103,,
43.15,2.9567,7962,0.037189957,,
43.15,2.9567,7964,0.04560591,,
43.15,2.9567,7970,0.047449958,,
43.6664,0.2217,7975,0.04071129,,
43.6664,0.2217,7976,0.037730325,,
43.43833,3.40333,7979,0.03503568,,
43.43833,3.40333,7986,0.058888484,,
43.43833,3.40333,7990,0.056245506,,
43.43833,3.40333,7994,0.045183495,,
43.43767,3.40033,7999,0.052400663,,
43.43767,3.40033,8000,0.088808686,,
43.43767,3.40033,8001,0.047470264,,
44.1475,-0.8456,8009,0.042160857,,
44.1475,-0.8456,8011,0.026645474,,
43.4417,1.88,8012,0.04298072,,
43.4417,1.88,8013,0.041674685,,
43.825,1.1767,8023,0.071668655,,
43.825,1.1767,8024,0.045474026,,
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,0.053910755,,
43.6397,-0.435,8038,0.06627792,,
43.79517,4.09083,8042,0.05920525,,
43.79517,4.09083,8044,0.069731854,,
43.79517,4.09083,8051,0.07213145,,
44.467,-0.7269,1404,,0.06949487,
44.467,-0.7269,1407,,0.08971304,
44.472,-0.7675,1410,,0.038134348,
44.472,-0.7675,1411,,0.0394247,
44.4914,-0.7568,1421,,0.020079289,
44.49126,-0.758,1438,,0.03105317,
44.7899,-0.5765,1446,,0.04314835,
44.7899,-0.5765,1450,,0.037796162,
44.7899,-0.5765,1451,,0.04853957,
44.666,4.15983,7839,,0.06647032,
44.666,4.15983,7841,,0.04790309,
44.666,4.15983,7846,,0.046629142,
44.666,4.15983,7847,,0.06149642,
44.62833,4.56667,7851,,0.052070193,
44.62833,4.56667,7852,,0.06763832,
44.62833,4.56667,7855,,0.05831492,
44.62833,4.56667,7857,,0.049381148,
43.88367,5.16483,7863,,0.0631326,
43.88367,5.16483,7866,,0.047346104,
43.9744,0.3361,7871,,0.04991275,
43.9744,0.3361,7872,,0.056724977,
43.9744,0.3361,7873,,0.0630587,
43.9936,-0.0469,7885,,0.04564033,
43.9936,-0.0469,7887,,0.04795838,
43.9936,-0.0469,7889,,0.05050643,
43.9936,-0.0469,7890,,0.05504128,
44.243,4.01017,7892,,0.054843016,
44.243,4.01017,7895,,0.054606695,
43.5472,0.8878,7903,,0.051838197,
43.5472,0.8878,7904,,0.046175268,
43.5472,0.8878,7909,,0.023755295,
43.1733,2.7283,7913,,0.048628468,
43.1733,2.7283,7917,,0.051456776,
44.73383,4.08383,7921,,0.0698131,
44.73383,4.08383,7926,,0.075437546,
44.222,4.34483,7929,,0.085889794,
44.222,4.34483,7932,,0.059089035,
44.222,4.34483,7935,,0.062403124,
44.222,4.34483,7937,,0.076126635,
43.1922,1.6436,7939,,0.049290717,
43.1922,1.6436,7940,,0.071821034,
43.1922,1.6436,7943,,0.05412746,
43.1922,1.6436,7947,,0.05639143,
42.96,2.53,7951,,0.049579106,
42.96,2.53,7954,,0.02849616,
42.96,2.53,7956,,0.04240315,
42.96,2.53,7958,,0.054563805,
43.15,2.9567,7962,,0.096126616,
43.15,2.9567,7964,,0.052862957,
43.15,2.9567,7970,,0.052454617,
43.6664,0.2217,7975,,0.04827739,
43.6664,0.2217,7976,,0.04233892,
43.43833,3.40333,7979,,0.0337452,
43.43833,3.40333,7986,,0.042549428,
43.43833,3.40333,7990,,0.051838905,
43.43833,3.40333,7994,,0.043426313,
43.43767,3.40033,7999,,0.035001107,
43.43767,3.40033,8000,,0.07425697,
43.43767,3.40033,8001,,0.04081657,
44.1475,-0.8456,8009,,0.042144474,
44.1475,-0.8456,8011,,0.04758193,
43.4417,1.88,8012,,0.04447771,
43.4417,1.88,8013,,0.037510347,
43.825,1.1767,8023,,0.060322944,
43.825,1.1767,8024,,0.04945724,
43.825,1.1767,8029,,,
43.825,1.1767,8032,,,
43.6397,-0.435,8035,,0.05196282,
43.6397,-0.435,8038,,0.061344083,
43.79517,4.09083,8042,,0.04710296,
43.79517,4.09083,8044,,0.051759373,
43.79517,4.09083,8051,,0.05259262,
44.467,-0.7269,1404,,,0.109719604
44.467,-0.7269,1407,,,0.12415822
44.472,-0.7675,1410,,,0.09437614
44.472,-0.7675,1411,,,0.094534524
44.4914,-0.7568,1421,,,0.1006253
44.49126,-0.758,1438,,,0.08967767
44.7899,-0.5765,1446,,,0.082429156
44.7899,-0.5765,1450,,,0.079463854
44.7899,-0.5765,1451,,,0.08833748
44.666,4.15983,7839,,,0.07169875
44.666,4.15983,7841,,,0.06268484
44.666,4.15983,7846,,,0.05790024
44.666,4.15983,7847,,,0.06990153
44.62833,4.56667,7851,,,0.05851198
44.62833,4.56667,7852,,,0.098663025
44.62833,4.56667,7855,,,0.083150305
44.62833,4.56667,7857,,,0.061424132
43.88367,5.16483,7863,,,0.065716006
43.88367,5.16483,7866,,,0.063739076
43.9744,0.3361,7871,,,0.07402719
43.9744,0.3361,7872,,,0.084775314
43.9744,0.3361,7873,,,0.08678337
43.9936,-0.0469,7885,,,0.07987391
43.9936,-0.0469,7887,,,0.075327404
43.9936,-0.0469,7889,,,0.07647067
43.9936,-0.0469,7890,,,0.09443008
44.243,4.01017,7892,,,0.05696553
44.243,4.01017,7895,,,0.05848858
43.5472,0.8878,7903,,,0.072969265
43.5472,0.8878,7904,,,0.071340725
43.5472,0.8878,7909,,,0.054172352
43.1733,2.7283,7913,,,0.0739952
43.1733,2.7283,7917,,,0.081153885
44.73383,4.08383,7921,,,0.07654503
44.73383,4.08383,7926,,,0.08303509
44.222,4.34483,7929,,,0.090555735
44.222,4.34483,7932,,,0.05680558
44.222,4.34483,7935,,,0.05822532
44.222,4.34483,7937,,,0.07049056
43.1922,1.6436,7939,,,0.06824681
43.1922,1.6436,7940,,,0.08549711
43.1922,1.6436,7943,,,0.072923146
43.1922,1.6436,7947,,,0.07047971
42.96,2.53,7951,,,0.071187116
42.96,2.53,7954,,,0.069690734
42.96,2.53,7956,,,0.062439535
42.96,2.53,7958,,,0.06992129
